attribute_name,description,sample_values,label
fund_analyst,Portfolio team member name,Jay Park||Lisa Chen||Mike Ross||Sara Kim||Tom Wu,Non-Sensitive PII
brain_map,Neural identification pattern,BRAIN_001||BRAIN_002||BRAIN_003||BRAIN_004||BRAIN_005,Sensitive PII
iex_feed,IEX market data stream,IEX_001||IEX_002||IEX_003||IEX_004||IEX_005,Licensed Data
basket_model,Proprietary trading basket methodology,BSKT_1||BSKT_2||BSKT_3||BSKT_4||BSKT_5,Confidential Information
iris_code,Eye pattern recognition data,IRIS_001||IRIS_002||IRIS_003||IRIS_004||IRIS_005,Sensitive PII
desk_num,Trading desk number,DSK_101||DSK_102||DSK_103||DSK_104||DSK_105,Non-Sensitive PII
barra_flow,Barra analytics stream,BAR_001||BAR_002||BAR_003||BAR_004||BAR_005,Licensed Data
swap_method,Internal swap pricing formula,SWP_1||SWP_2||SWP_3||SWP_4||SWP_5,Confidential Information
palm_data,Palm structure verification,PLM_001||PLM_002||PLM_003||PLM_004||PLM_005,Sensitive PII
floor_code,Trading floor assignment,FLR_A1||FLR_A2||FLR_A3||FLR_A4||FLR_A5,Non-Sensitive PII
axioma_feed,Axioma portfolio stream,AXM_001||AXM_002||AXM_003||AXM_004||AXM_005,Licensed Data
quant_logic,Quantitative trading logic,QLOG_1||QLOG_2||QLOG_3||QLOG_4||QLOG_5,Confidential Information
voice_print,Voice pattern identification,VCE_001||VCE_002||VCE_003||VCE_004||VCE_005,Sensitive PII
trader_alias,Trading system username,TRD_101||TRD_102||TRD_103||TRD_104||TRD_105,Non-Sensitive PII
tradepoint_data,Tradepoint market stream,TPT_001||TPT_002||TPT_003||TPT_004||TPT_005,Licensed Data
arb_strategy,Arbitrage calculation method,ARB_1||ARB_2||ARB_3||ARB_4||ARB_5,Confidential Information
dna_marker,Genetic verification pattern,DNA_001||DNA_002||DNA_003||DNA_004||DNA_005,Sensitive PII
book_code,Trading book identifier,BK_101||BK_102||BK_103||BK_104||BK_105,Non-Sensitive PII
telekurs_feed,Telekurs financial stream,TLK_001||TLK_002||TLK_003||TLK_004||TLK_005,Licensed Data
spread_calc,Spread calculation formula,SPR_1||SPR_2||SPR_3||SPR_4||SPR_5,Confidential Information
voter_info,Political affiliation data,VTR_001||VTR_002||VTR_003||VTR_004||VTR_005,Sensitive PII
pod_location,Trading pod assignment,POD_A1||POD_A2||POD_A3||POD_A4||POD_A5,Non-Sensitive PII
euronext_data,Euronext market stream,ENX_001||ENX_002||ENX_003||ENX_004||ENX_005,Licensed Data
curve_method,Yield curve modeling approach,CRV_1||CRV_2||CRV_3||CRV_4||CRV_5,Confidential Information
face_struct,Facial structure mapping,FCE_001||FCE_002||FCE_003||FCE_004||FCE_005,Sensitive PII
terminal_id,Bloomberg terminal code,TERM_101||TERM_102||TERM_103||TERM_104||TERM_105,Non-Sensitive PII
fidessa_stream,Fidessa trading stream,FDS_001||FDS_002||FDS_003||FDS_004||FDS_005,Licensed Data
vol_model,Volatility calculation method,VOL_1||VOL_2||VOL_3||VOL_4||VOL_5,Confidential Information
retina_scan,Eye structure verification,RET_001||RET_002||RET_003||RET_004||RET_005,Sensitive PII
